abs_path	label	detail
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_09.xml	sentence	6 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_10.xml	mixed	10 <u> elements, mixed structure: ['sentence', 'single-word']
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_12.xml	mixed	10 <u> elements, mixed structure: ['sentence', 'single-word']
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/_Los_Sonidos_del_mixteco.xml	single-word	41 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Bichos/Bichos-SIL.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L093/L093-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L094/L094-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L095/L095-tok-QA-rspns.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L095/L095-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L097/L097-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L098/L098-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L099/L099-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L100/L100-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L101/L101-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L102/L102-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L103/L103-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L104/L104-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L106/L106-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L106/aunt-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L144/L144-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L145/L145-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L146/L146-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L147/L147-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L148/L148-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L149/L149-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L150/L150-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L151/L151-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L152/L152-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L153/L153-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L154/L154-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L155/L155-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L156/L156-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L157/L157-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L158/L158-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L159/L159-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L160/L160-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L161/L161-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L162/L162-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L163/L163-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/L331/L331-tok.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Mille/GUIA_ORTOGRAFICA_PRELIMINAR_Short_version.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Mille/Mixtepec Mixtec Pronouns System.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Mille/Puntos a recordar en la escritura del mixteco.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Mille/Tabla de pronombres en mixteco.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Modismos/Modismos-MIX-SIL-TEI.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Parangon/ParangonMixtepec-MNieves-TEI.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/aves-2014/Las_aves-mix.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/cruxigramas-2014/Cruxigramas-tei.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/VOCESvocab-tei.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/exports/BaseX-extractions/couplets-o_u.xml	UNCLASSIFIABLE	PARSE ERROR: Extra content at the end of the document, line 2, column 1 (couplets-o_u.xml, line 2)
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_difficult_01_spkrTS.xml	single-word	1 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_difficult_02_spkrTS.xml	single-word	1 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_fat_02_spkrTS.xml	single-word	1 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/longerFiles/MONO_description_of_baby_goat_video_TS.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/metadata/190701_0072-plantain-tree-meatadata.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/metadata/190708_0192-uncle-on-name-skuiia-metdata.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/metadata/190709_0198-plant-yuku-kini-meatadata.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/metadata/190710_0268-tickle-meatadata.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Conocelos/conocelos-chikui.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Conocelos/conocelos-sayo'o.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Conocelos/vocab-conocelos-mx-fb.xml	whole-utterance	1 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Jerry_Guillem_Mixtec/bees/MYUC-1042.xml	whole-utterance	269 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Mexican-gov/258/258-INFOGRAFAENCASODESISMO_ENMIXTECODESANJUANMIXTEPEC_.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Mexican-gov/264/264-INFOGRAFACICLNALEJNDOSE_ENMIXTECODESANJUANMIXTEPEC_.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Mexican-gov/280/280-INFOGRAFASISMOSENMXICO-BRECHADEGUERRERO_ENMIXTECODESANJUANMIXTEPEC_.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Mexican-gov/281/281-INFOGRAFALADERASINESTABLES_ENMIXTECODESANJUANMIXTEPEC_.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Mexican-gov/308/308-INFOGRAFAINUNDACIONESSBITAS_ENMIXTECODESANJUANMIXTEPEC_.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/NeededMixtecVocab2-20170807-TS.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/NeededMixtecVocabulary20170806-TS.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/Tisu-Vienna-Diary-201711.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170708.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170714-01.xml	UNCLASSIFIABLE	PARSE ERROR: ID MN already defined, line 37, column 37 (correspDesc-MNieves-20170714-01.xml, line 37)
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170714.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170724.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170727.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170728.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170801.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-201708010.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-201708019.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-MNieves-20170805.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/corresp/correspDesc-Tisu-MNieves-201708011.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/misc-sources/vocab-20180914-Tisu.xml	whole-utterance	33 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/Untitled3.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/Untitled9.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/agreement-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/all-PRON.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/be-sad-hurt-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/be-scared-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/be_happy-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/be_sad-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/break-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/brother_in_law-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/build-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/close-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/collarbone-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/comb-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/cough-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/dream-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/drink-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/drop-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/enter-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/enter-interrupt-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/get-drunk-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/gravy-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/know-see-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/kuna-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/like-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/live-yee-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/metal-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/mucus-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/offspring-Nxml.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/onion-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/paradigm-table-text.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/realize-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/scratch-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/selfish-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/shower-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/sleep-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/sneeze-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/spit-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/stingy-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/stomach-ache-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/tell-lies-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/tell-truth-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/toast-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/turkey-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/watch-V.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/with-CONJ.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/paradigms/woodpecker-N.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/project-bibl/Academia-Lengua-Mixteca/Pronunciamiento-AcademiaLenguaMixteca_2011-TEI.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/project-bibl/Pastor-Azcona/Paster-MIX-YM_Tone_Rules-2005.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/schemas/ODD-MIX-dict.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/schemas/ODD-MIX-text-docs.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/templates/metadata-record-template.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/templates/mixtec-noun-paradigm-template.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/templates/mixtec-utterance-template.xml	whole-utterance	1 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/templates/mixtec-verb-paradigm-template.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/Bichos-SIL.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L098-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L099-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L101-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L102-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L103-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L104-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L106-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L144-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L145-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L146-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/stylesheets-scripts/xslt/test/EntriesTest/L147-tok-result.xml	UNCLASSIFIABLE	no <u> elements found
